"","diff","lwr","upr","p adj"
"mean-complete",-0.048,-0.052,-0.044,0
"mi15-complete",-0.036,-0.039,-0.032,0
"mi5-complete",-0.035,-0.039,-0.031,0
"reg-complete",-0.026,-0.03,-0.022,0
"s_reg-complete",-0.036,-0.039,-0.032,0
"mi15-mean",0.012,0.009,0.016,0
"mi5-mean",0.013,0.009,0.017,0
"reg-mean",0.022,0.018,0.026,0
"s_reg-mean",0.012,0.009,0.016,0
"mi5-mi15",0,-0.004,0.004,1
"reg-mi15",0.009,0.005,0.013,0
"s_reg-mi15",0,-0.004,0.004,1
"reg-mi5",0.009,0.005,0.013,0
"s_reg-mi5",0,-0.004,0.004,1
"s_reg-reg",-0.009,-0.013,-0.005,0
