"","diff","lwr","upr","p adj"
"mean-complete",-0.047,-0.051,-0.043,0
"mi15-complete",-0.034,-0.038,-0.031,0
"mi5-complete",-0.034,-0.038,-0.031,0
"reg-complete",-0.026,-0.03,-0.022,0
"s_reg-complete",-0.035,-0.039,-0.031,0
"mi15-mean",0.013,0.009,0.017,0
"mi5-mean",0.013,0.009,0.017,0
"reg-mean",0.021,0.017,0.025,0
"s_reg-mean",0.012,0.009,0.016,0
"mi5-mi15",0,-0.004,0.004,1
"reg-mi15",0.008,0.004,0.012,0
"s_reg-mi15",0,-0.004,0.003,1
"reg-mi5",0.008,0.004,0.012,0
"s_reg-mi5",0,-0.004,0.004,1
"s_reg-reg",-0.009,-0.012,-0.005,0
