"","diff","lwr","upr","p adj"
"mean-complete",-0.109,-0.114,-0.104,0
"mi15-complete",-0.132,-0.137,-0.127,0
"mi5-complete",-0.131,-0.136,-0.126,0
"reg-complete",-0.101,-0.106,-0.097,0
"s_reg-complete",-0.133,-0.138,-0.128,0
"mi15-mean",-0.023,-0.028,-0.018,0
"mi5-mean",-0.022,-0.027,-0.017,0
"reg-mean",0.007,0.002,0.012,0
"s_reg-mean",-0.024,-0.029,-0.019,0
"mi5-mi15",0.001,-0.004,0.006,0.994
"reg-mi15",0.03,0.025,0.035,0
"s_reg-mi15",-0.001,-0.006,0.004,0.997
"reg-mi5",0.029,0.024,0.034,0
"s_reg-mi5",-0.002,-0.007,0.003,0.913
"s_reg-reg",-0.031,-0.036,-0.026,0
