"","diff","lwr","upr","p adj"
"mean-complete",-0.078,-0.083,-0.074,0
"mi15-complete",-0.082,-0.086,-0.077,0
"mi5-complete",-0.081,-0.085,-0.077,0
"reg-complete",-0.058,-0.063,-0.054,0
"s_reg-complete",-0.079,-0.084,-0.075,0
"mi15-mean",-0.004,-0.008,0.001,0.215
"mi5-mean",-0.003,-0.007,0.002,0.464
"reg-mean",0.02,0.015,0.024,0
"s_reg-mean",-0.001,-0.005,0.004,0.991
"mi5-mi15",0.001,-0.004,0.005,0.998
"reg-mi15",0.023,0.019,0.028,0
"s_reg-mi15",0.003,-0.002,0.007,0.569
"reg-mi5",0.023,0.018,0.027,0
"s_reg-mi5",0.002,-0.003,0.006,0.839
"s_reg-reg",-0.021,-0.025,-0.016,0
