"","diff","lwr","upr","p adj"
"mean-complete",-0.118,-0.123,-0.113,0
"mi15-complete",-0.137,-0.142,-0.133,0
"mi5-complete",-0.138,-0.143,-0.134,0
"reg-complete",-0.113,-0.118,-0.109,0
"s_reg-complete",-0.14,-0.145,-0.135,0
"mi15-mean",-0.019,-0.024,-0.014,0
"mi5-mean",-0.02,-0.025,-0.016,0
"reg-mean",0.005,0,0.01,0.05
"s_reg-mean",-0.022,-0.027,-0.017,0
"mi5-mi15",-0.001,-0.006,0.004,0.985
"reg-mi15",0.024,0.019,0.029,0
"s_reg-mi15",-0.003,-0.008,0.002,0.559
"reg-mi5",0.025,0.02,0.03,0
"s_reg-mi5",-0.002,-0.006,0.003,0.924
"s_reg-reg",-0.027,-0.032,-0.022,0
