"","diff","lwr","upr","p adj"
"mean-complete",-0.115,-0.12,-0.11,0
"mi15-complete",-0.143,-0.148,-0.138,0
"mi5-complete",-0.142,-0.147,-0.137,0
"reg-complete",-0.106,-0.111,-0.101,0
"s_reg-complete",-0.138,-0.143,-0.133,0
"mi15-mean",-0.027,-0.032,-0.022,0
"mi5-mean",-0.026,-0.031,-0.021,0
"reg-mean",0.009,0.004,0.014,0
"s_reg-mean",-0.023,-0.028,-0.018,0
"mi5-mi15",0.001,-0.004,0.006,0.988
"reg-mi15",0.036,0.031,0.042,0
"s_reg-mi15",0.004,-0.001,0.009,0.122
"reg-mi5",0.035,0.03,0.04,0
"s_reg-mi5",0.003,-0.002,0.008,0.42
"s_reg-reg",-0.032,-0.037,-0.027,0
