"","diff","lwr","upr","p adj"
"mean-complete",-0.049,-0.053,-0.045,0
"mi15-complete",-0.04,-0.044,-0.036,0
"mi5-complete",-0.04,-0.044,-0.036,0
"reg-complete",-0.032,-0.036,-0.028,0
"s_reg-complete",-0.041,-0.045,-0.037,0
"mi15-mean",0.009,0.005,0.013,0
"mi5-mean",0.009,0.005,0.013,0
"reg-mean",0.017,0.013,0.021,0
"s_reg-mean",0.008,0.004,0.012,0
"mi5-mi15",0,-0.004,0.004,1
"reg-mi15",0.008,0.004,0.012,0
"s_reg-mi15",-0.001,-0.005,0.003,0.988
"reg-mi5",0.008,0.004,0.012,0
"s_reg-mi5",-0.001,-0.005,0.003,0.968
"s_reg-reg",-0.009,-0.013,-0.005,0
